epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3654.22,0.79292,0.33368,0.99525,0.9791,0.98375,0.99297,0.73808,1.04289,0.43325,1.11457,0.0012608,0.0012608,0.0012608
58,3733.99,0.80137,0.33914,1.00031,0.98056,0.98845,0.99319,0.75786,0.97112,0.42429,1.0697,0.0012476,0.0012476,0.0012476
59,3814.81,0.77873,0.3266,0.98567,0.98271,0.99204,0.99316,0.74822,1.02096,0.42242,1.09673,0.0012344,0.0012344,0.0012344
60,3895.43,0.7921,0.32936,0.98857,0.98355,0.98981,0.9934,0.72766,1.05748,0.41755,1.10085,0.0012212,0.0012212,0.0012212
61,3975.77,0.78522,0.32149,0.98756,0.97917,0.9906,0.99238,0.75248,0.95976,0.42783,1.05414,0.001208,0.001208,0.001208
62,4047.03,0.80248,0.33659,1.00678,0.9821,0.98901,0.99328,0.77817,0.93423,0.42989,1.05455,0.0011948,0.0011948,0.0011948
63,4127.87,0.78103,0.33249,0.98656,0.97737,0.98365,0.99267,0.71406,1.07817,0.44849,1.11222,0.0011816,0.0011816,0.0011816
64,4209.44,0.79585,0.34395,0.98882,0.98508,0.98836,0.99371,0.75058,1.00567,0.42465,1.0832,0.0011684,0.0011684,0.0011684
65,4289.7,0.76556,0.32282,0.97817,0.98051,0.99506,0.99244,0.75283,0.94933,0.41333,1.05809,0.0011552,0.0011552,0.0011552
66,4370.05,0.75932,0.33006,0.97549,0.97715,0.99442,0.99222,0.76316,0.94559,0.40077,1.05252,0.001142,0.001142,0.001142
67,4450.94,0.76134,0.31842,0.9737,0.98512,0.98837,0.99311,0.76278,0.96471,0.40729,1.06326,0.0011288,0.0011288,0.0011288
68,4527.54,0.75753,0.32079,0.97483,0.99054,0.99235,0.99328,0.76485,0.95946,0.39208,1.0635,0.0011156,0.0011156,0.0011156
69,4599.33,0.76644,0.3215,0.97896,0.983,0.98545,0.99309,0.76268,0.93854,0.39007,1.05113,0.0011024,0.0011024,0.0011024
70,4679.46,0.75757,0.32004,0.97647,0.98973,0.99785,0.9936,0.76567,0.95123,0.38819,1.05952,0.0010892,0.0010892,0.0010892
71,4759.71,0.76433,0.31924,0.97789,0.98944,0.99028,0.99345,0.74671,0.98274,0.40208,1.07007,0.001076,0.001076,0.001076
72,4839.9,0.76693,0.32165,0.97757,0.98441,0.99427,0.99308,0.78675,0.89768,0.38798,1.03276,0.0010628,0.0010628,0.0010628
73,4920.22,0.75601,0.31428,0.97201,0.98408,0.98996,0.99317,0.76258,0.92162,0.43288,1.04545,0.0010496,0.0010496,0.0010496
74,5000.12,0.75288,0.3181,0.97229,0.98113,0.99108,0.99283,0.76829,0.93847,0.38015,1.04826,0.0010364,0.0010364,0.0010364
75,5069.2,0.74678,0.30872,0.96707,0.98209,0.98359,0.99317,0.77847,0.93215,0.40082,1.05547,0.0010232,0.0010232,0.0010232
76,5129.66,0.74325,0.30612,0.96652,0.9848,0.98726,0.99239,0.77962,0.92114,0.38307,1.04999,0.00101,0.00101,0.00101
77,5197.68,0.74774,0.30513,0.97078,0.98238,0.98604,0.99312,0.7552,0.94021,0.41057,1.05063,0.0009968,0.0009968,0.0009968
78,5274.32,0.74031,0.30746,0.96631,0.98189,0.98885,0.99277,0.76956,0.94081,0.39468,1.05148,0.0009836,0.0009836,0.0009836
79,5348.28,0.73585,0.30507,0.96366,0.98114,0.98598,0.99268,0.76147,0.95569,0.40932,1.06285,0.0009704,0.0009704,0.0009704
80,5420.41,0.75279,0.31222,0.97022,0.984,0.9891,0.99362,0.75741,0.99359,0.39255,1.08809,0.0009572,0.0009572,0.0009572
81,5491.92,0.74511,0.30389,0.96872,0.98129,0.97834,0.99311,0.76358,0.94913,0.39952,1.0593,0.000944,0.000944,0.000944
82,5564.23,0.74092,0.29593,0.96879,0.98183,0.98996,0.99303,0.75927,0.95999,0.39073,1.06258,0.0009308,0.0009308,0.0009308
83,5636.33,0.74132,0.29623,0.96453,0.98278,0.98216,0.993,0.76882,0.94343,0.38573,1.05246,0.0009176,0.0009176,0.0009176
84,5708.1,0.73528,0.29288,0.96247,0.97617,0.98694,0.99274,0.75171,0.9684,0.39762,1.05799,0.0009044,0.0009044,0.0009044
85,5780.22,0.73977,0.29536,0.96602,0.98151,0.98931,0.99332,0.75842,0.94294,0.41421,1.05434,0.0008912,0.0008912,0.0008912
86,5853.44,0.73339,0.29703,0.9636,0.98838,0.98678,0.99372,0.77484,0.94352,0.37429,1.05698,0.000878,0.000878,0.000878
87,5926.31,0.73397,0.29795,0.96797,0.98551,0.99379,0.99333,0.76353,0.92982,0.38807,1.04906,0.0008648,0.0008648,0.0008648
88,5999.42,0.75125,0.30449,0.97714,0.98125,0.98996,0.99301,0.75892,0.98732,0.41348,1.08613,0.0008516,0.0008516,0.0008516
89,6072.02,0.75149,0.30601,0.97244,0.97702,0.98104,0.99293,0.75998,0.9731,0.40155,1.07367,0.0008384,0.0008384,0.0008384
90,6144.6,0.73983,0.29757,0.96907,0.98326,0.99172,0.9939,0.7777,0.94717,0.38007,1.06483,0.0008252,0.0008252,0.0008252
91,6217.76,0.73524,0.29341,0.96584,0.98324,0.98614,0.9937,0.77255,0.91966,0.38608,1.04491,0.000812,0.000812,0.000812
92,6291.89,0.73346,0.29402,0.96275,0.98427,0.98642,0.99364,0.78208,0.91336,0.36579,1.0486,0.0007988,0.0007988,0.0007988
93,6364.53,0.72024,0.28676,0.95551,0.98165,0.98829,0.99322,0.77759,0.91906,0.38119,1.04744,0.0007856,0.0007856,0.0007856
94,6437.32,0.72672,0.29207,0.96183,0.98661,0.98694,0.99374,0.76883,0.9404,0.37067,1.05658,0.0007724,0.0007724,0.0007724
95,6509.44,0.71691,0.28882,0.95592,0.98365,0.9863,0.99345,0.77225,0.91555,0.37536,1.03792,0.0007592,0.0007592,0.0007592
96,6581.79,0.71429,0.28562,0.95468,0.99104,0.99665,0.994,0.78156,0.90941,0.35221,1.0438,0.000746,0.000746,0.000746
97,6653.69,0.71241,0.28338,0.95405,0.98603,0.98996,0.99346,0.76827,0.94473,0.37747,1.06182,0.0007328,0.0007328,0.0007328
